epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,244.171,0.40816,0.39234,1.05525,0.97219,0.70514,0.77439,0.63848,0.6393,0.54193,1.36339,0.000247625,0.000247625,0.000247625
83,246.952,0.4074,0.37554,1.04462,0.72343,0.88288,0.85503,0.6907,0.67313,0.5548,1.40062,0.00023525,0.00023525,0.00023525
84,249.748,0.41598,0.39298,1.05037,0.7451,0.97826,0.97978,0.72873,0.67118,0.53948,1.4173,0.000222875,0.000222875,0.000222875
85,252.544,0.41691,0.39765,1.04048,0.79575,0.97826,0.98072,0.77853,0.67434,0.50484,1.42876,0.0002105,0.0002105,0.0002105
86,255.325,0.39236,0.36843,1.03865,0.80028,0.97826,0.97735,0.75514,0.67755,0.50513,1.408,0.000198125,0.000198125,0.000198125
87,258.087,0.37724,0.35706,1.03375,0.83935,0.96437,0.96818,0.77536,0.65117,0.5063,1.36413,0.00018575,0.00018575,0.00018575
88,260.861,0.39205,0.377,1.03958,0.89159,0.72826,0.97588,0.79031,0.62295,0.5147,1.33956,0.000173375,0.000173375,0.000173375
89,263.635,0.38373,0.37564,1.04378,0.96866,0.69407,0.85218,0.70771,0.59645,0.53804,1.31739,0.000161,0.000161,0.000161
90,266.434,0.38094,0.36346,1.03164,0.94094,0.67793,0.75314,0.64476,0.59508,0.60642,1.31944,0.000148625,0.000148625,0.000148625
91,270.889,0.27497,0.41657,1.00451,0.92611,0.66597,0.78226,0.63411,0.67927,0.67604,1.44876,0.00013625,0.00013625,0.00013625
92,273.712,0.24834,0.35042,0.97944,0.92753,0.66413,0.74161,0.57764,0.77872,0.72773,1.57984,0.000123875,0.000123875,0.000123875
93,276.476,0.24126,0.29281,0.98679,0.95734,0.66731,0.75537,0.60476,0.75042,0.62752,1.57392,0.0001115,0.0001115,0.0001115
94,279.237,0.23462,0.26834,0.94872,0.9739,0.694,0.80735,0.64651,0.68553,0.54709,1.47959,9.9125e-05,9.9125e-05,9.9125e-05
95,281.977,0.23446,0.27889,0.95632,0.97158,0.70757,0.76974,0.61782,0.69355,0.52238,1.49656,8.675e-05,8.675e-05,8.675e-05
96,284.716,0.23835,0.26631,0.96908,0.95872,0.7151,0.77588,0.63895,0.65855,0.53351,1.4594,7.4375e-05,7.4375e-05,7.4375e-05
97,287.464,0.22174,0.26563,0.93828,0.97172,0.71739,0.76965,0.64006,0.64246,0.50044,1.41275,6.2e-05,6.2e-05,6.2e-05
98,290.217,0.21869,0.25588,0.94855,0.97587,0.71739,0.79429,0.67108,0.62065,0.47727,1.37976,4.9625e-05,4.9625e-05,4.9625e-05
99,292.97,0.22662,0.25614,0.9567,0.98226,0.72271,0.79514,0.67034,0.60736,0.46257,1.3645,3.725e-05,3.725e-05,3.725e-05
100,295.721,0.21423,0.26322,0.9592,0.98202,0.72265,0.81559,0.69435,0.59897,0.46377,1.3606,2.4875e-05,2.4875e-05,2.4875e-05
